name,description,binding,readonly,enabled,hidden,options
e#ace#default#selectwordright,Select the Word After Cursor,"[[u'ctrl+shift+right'], [u'option+shift+right']]",True,True,False,{u'ace': True}
e#ace#default#gotowordright,Move Forward a Word,"[[u'ctrl+right'], [u'option+right']]",True,True,False,{u'ace': True}
e#ace#default#selecttolineend,Select Text After Cursor,"[[u'alt+shift+right'], [u'command+shift+right']]",True,True,False,{u'ace': True}
e#ace#default#gotolineend,Move to The End of The Line,"[[u'alt+right', u'end'], [u'command+right', u'end', u'ctrl+e']]",True,True,False,{u'ace': True}
e#ace#default#selectright,Select to the Right,"[[u'shift+right'], [u'shift+right']]",True,True,False,{u'ace': True}
e#ace#default#gotoright,Move Right,"[[u'right'], [u'right', u'ctrl+f']]",True,True,False,{u'ace': True}
e#ace#default#selectpagedown,Select Page Down,"[[u'shift+pagedown'], [u'shift+pagedown']]",True,True,False,{u'ace': True}
e#ace#default#pagedown,Pagedown,"[None, [u'option+pagedown']]",True,True,False,{u'ace': True}
e#ace#default#gotopagedown,Go to Page Down,"[[u'pagedown'], [u'pagedown', u'ctrl+v']]",True,True,False,{u'ace': True}
e#ace#default#selectpageup,Select Page Up,"[[u'shift+pageup'], [u'shift+pageup']]",True,True,False,{u'ace': True}
e#ace#default#pageup,Pageup,"[None, [u'option+pageup']]",True,True,False,{u'ace': True}
e#ace#default#gotopageup,Go to Page Up,"[[u'pageup'], [u'pageup']]",True,True,False,{u'ace': True}
e#ace#default#scrollup,Scroll Up,"[[u'ctrl+up'], None]",True,True,False,{u'ace': True}
e#ace#default#scrolldown,Scroll Down,"[[u'ctrl+down'], None]",True,True,False,{u'ace': True}
e#ace#default#selectlinestart,Select Line Start,"[[u'shift+home'], [u'shift+home']]",True,True,False,{u'ace': True}
e#ace#default#selectlineend,Select Line End,"[[u'shift+end'], [u'shift+end']]",True,True,False,{u'ace': True}
e#ace#default#togglerecording,Toggle Recording,"[[u'ctrl+alt+e'], [u'command+option+e']]",True,True,False,{u'ace': True}
e#ace#default#replaymacro,Replay Macro,"[[u'ctrl+shift+e'], [u'command+shift+e']]",True,True,False,{u'ace': True}
e#ace#default#jumptomatching,Jump to Matching,"[[u'ctrl+p'], [u'ctrl+p']]",True,True,False,{u'ace': True}
e#ace#default#selecttomatching,Select to Matching,"[[u'ctrl+shift+p'], [u'ctrl+shift+p']]",True,True,False,{u'ace': True}
e#ace#default#expandToMatching,Expand To Matching,"[[u'ctrl+shift+m'], [u'ctrl+shift+m']]",True,True,False,{u'ace': True}
e#ace#default#passKeysToBrowser,Pass Keys to Browser,"[[None], [None]]",True,True,True,{u'ace': True}
e#ace#default#removeline,Delete the Current Line,"[[u'ctrl+d'], [u'command+d']]",False,True,False,{u'ace': True}
e#ace#default#duplicateSelection,Duplicate Selection,"[[u'ctrl+shift+d'], [u'command+shift+d']]",False,True,False,{u'ace': True}
